subj,patient,date,session,part,trial,stim,stim_order,segment,segment_time,pitch,response,rt
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,0,0,105.65252,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,1,1,-58.332946,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,2,2,184.257641,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,3,3,-81.171625,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,4,4,-61.825936,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,5,5,-41.761596,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_0,0,6,6,-93.17352,True,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,0,0,24.523552,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,1,1,-33.200186,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,2,2,-54.425014,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,3,3,-18.945425,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,4,4,-27.123559,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,5,5,34.82447,False,9.634
17,0,20-May-2018,1,1,1,Sub17_Trial1_1,1,6,6,-42.119772,False,9.634
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,0,0,-36.032599,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,1,1,51.071883,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,2,2,-50.971734,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,3,3,131.467915,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,4,4,135.993765,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,5,5,57.05824,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_0,0,6,6,3.155604,True,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,0,0,63.993924,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,1,1,76.065049,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,2,2,0.270721,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,3,3,-169.880032,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,4,4,56.850172,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,5,5,-74.804765,False,1.725
17,0,20-May-2018,1,1,2,Sub17_Trial2_1,1,6,6,-9.747807,False,1.725
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,0,0,-6.345577,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,1,1,28.492666,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,2,2,7.551489,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,3,3,133.380843,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,4,4,-137.567222,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,5,5,17.345366,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_0,0,6,6,32.995504,True,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,0,0,-118.234075,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,1,1,21.791051,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,2,2,59.49616,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,3,3,179.018549,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,4,4,-49.45773,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,5,5,57.332161,False,6.067
17,0,20-May-2018,1,1,3,Sub17_Trial3_1,1,6,6,-72.956263,False,6.067
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,0,0,113.210653,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,1,1,-153.286135,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,2,2,88.653927,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,3,3,-28.164889,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,4,4,57.848098,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,5,5,-118.595816,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_0,0,6,6,53.423956,False,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_1,1,0,0,-11.931526,True,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_1,1,1,1,144.411953,True,1.577
17,0,20-May-2018,1,1,4,Sub17_Trial4_1,1,2,2,-43.448244,True,1.577
