subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,0,0,-66.667984,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,1,1,30.224323,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,2,2,18.229084,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,3,3,-73.350303,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,4,4,78.400017,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,5,5,23.338963,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_0,0,6,6,60.52452199999999,False,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,0,0,21.68683,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,1,1,31.793201,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,2,2,4.727546,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,3,3,-57.96205900000001,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,4,4,57.188455,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,5,5,138.804149,True,5.643
3,1,1,m,20,23-May-2016,Sub3_Trial1_1,1,6,6,-4.737859,True,5.643
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,0,0,-1.8828540000000018,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,1,1,47.91203200000001,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,2,2,-2.386423999999998,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,3,3,-2.4577290000000005,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,4,4,-63.76266,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,5,5,-96.647892,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_0,0,6,6,48.40068099999999,False,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,0,0,-43.222693,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,1,1,-132.902054,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,2,2,-22.312239000000005,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,3,3,13.785878,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,4,4,118.520991,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,5,5,20.857858,True,3.57
3,2,1,m,20,23-May-2016,Sub3_Trial2_1,1,6,6,-75.59594,True,3.57
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,0,0,-4.818628,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,1,1,72.30896,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,2,2,86.034853,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,3,3,-53.279865,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,4,4,-31.396269,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,5,5,77.055749,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_0,0,6,6,57.932231,False,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,0,0,23.257683,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,1,1,69.40263,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,2,2,29.756941,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,3,3,19.906263,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,4,4,99.796694,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,5,5,-109.90859,True,3.411
3,3,1,m,20,23-May-2016,Sub3_Trial3_1,1,6,6,-145.891634,True,3.411
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,0,0,-17.554398,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,1,1,19.296002,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,2,2,-105.292749,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,3,3,48.75616099999999,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,4,4,-24.805646,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,5,5,87.047534,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_0,0,6,6,36.665186,True,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,0,0,27.900109,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,1,1,-63.675613999999996,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,2,2,-32.33491,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,3,3,-115.08767599999999,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,4,4,-79.706642,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,5,5,44.450467,False,1.655
3,4,1,m,20,23-May-2016,Sub3_Trial4_1,1,6,6,-79.383981,False,1.655
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,0,0,64.713956,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,1,1,-102.652267,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,2,2,114.451709,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,3,3,-47.434290000000004,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,4,4,-107.751268,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,5,5,-58.10006899999999,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,6,6,20.797151,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,0,0,35.186803,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,1,1,46.295486,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,2,2,-16.536783,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,3,3,25.733269,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,4,4,-14.25381,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,5,5,29.612409999999997,False,3.727
