,config,n_trials,n_repeated,trial_type,n_features,external_noise_std,kernel,internal_noise_std,criteria,internal_noise_extractor,kernel_extractor,bin_data,n_bins,fit_method,run,prob_agree,prob_first
0,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,2,1.0433413792810031,0.485
1,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,5,1.0435129868524868,0.494
2,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,1,1.034158603309817,0.479
3,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,4,1.0302050002734056,0.512
4,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,8,1.059027454043266,0.514
5,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,9,1.0154599726955855,0.475
6,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,1,0.888128093589176,0.5
7,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,3,1.0342397349668522,0.504
8,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,0,0.9015897461567031,0.537
9,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,6,1.0273727664768362,0.52
10,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,0,1.0646514946427394,0.507
11,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,poly,7,1.0280510572445243,0.5
12,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,2,0.9146940085906177,0.501
13,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,5,0.8481983064689846,0.501
14,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,7,0.9049601296865226,0.501
15,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,3,0.8946968966241353,0.509
16,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,6,0.8837769909924059,0.502
17,2,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,False,100,poly,1,1.0193273380846297,0.5
18,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,9,0.8933688225038691,0.496
19,2,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,False,100,poly,0,1.0317244660733849,0.49
20,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,4,0.889551480669313,0.501
21,2,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,False,100,poly,3,1.0244829210616273,0.5
22,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,True,100,glm,8,0.8896174568044171,0.511
23,2,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.intercept_method.InterceptMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,False,100,poly,2,1.0305621307184376,0.505
