,config,n_trials,n_repeated,trial_type,n_features,external_noise_std,kernel,internal_noise_std,criteria,internal_noise_extractor,kernel_extractor,method,trial_mask,weight_trials,run,prob_agree,prob_first
0,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,5,0.9982652306994302,0.527
1,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,7,0.9980654527271753,0.513
2,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,3,0.9963119428326462,0.485
3,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,1,0.9984259256677455,0.483
4,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,4,0.9994666659219075,0.54
5,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,9,0.9988536154047761,0.509
6,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,False,0,0.984,0.511
7,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,False,1,0.982,0.482
8,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,6,0.9950046588744279,0.498
9,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,0,0.9993644203590683,0.474
10,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,8,0.9987309269837658,0.52
11,0,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,True,2,0.9989119001896518,0.474
12,1,1000,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.distance_method.DistanceMethod'>,<class 'palin.kernels.classification_images.ClassificationImage'>,accuracy,all,False,2,0.991,0.499
