,config,n_trials,trial_type,n_features,external_noise_std,kernel,internal_noise_std,criteria,internal_noise_extractor,backend,link,jitter,agg_mode,run,estimated_internal_noise
0,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,9,2.2466005919385337
1,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,6,2.3682286389497964
2,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,0,2.6689316781144306
3,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,4,2.801843765822821
4,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,5,2.434025325428793
5,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,4,2.4863921865366145
6,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,2,2.033806169006132
7,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,7,2.486215768809014
8,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,2,2.4866363304035373
9,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,8,2.486249102261829
10,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,3,2.5540960174622858
11,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,0,2.4861759049775225
12,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,5,2.4869641905030546
13,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,3,2.4860811670223932
14,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,1,3.3417690420686337
15,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,7,2.70161530699612
16,0,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,min,8,2.747003837092676
17,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,9,2.4861753969760767
18,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,1,2.4860938942476714
19,1,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,mean,6,2.4861924255720225
20,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,2,1.332647481518277
21,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,1,1.3890157964389855
22,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,6,1.3603950427009819
23,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,3,1.4376307195650229
24,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,7,1.4353806602361159
25,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,5,1.4638182342405806
26,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,0,1.3272083585653438
27,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,9,1.482040602092941
28,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,0,2.446774342575445
29,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,4,1.7134562439659977
30,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,4,2.4433540751787217
31,2,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,median,8,1.5856263379468722
32,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,1,2.4436152887601432
33,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,5,2.444391825870068
34,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,3,2.443016367494846
35,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,2,2.4445021296520513
36,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,6,2.442893989926592
37,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,7,2.4437078121306763
38,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,9,2.4429609145644946
39,3,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,max,8,2.4430976598775143
40,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,1,2.4842785635040965
41,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,2,2.4851086125605066
42,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,0,2.484334101523259
43,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,4,2.4841350313456987
44,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,5,2.4844964241319376
45,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,6,2.4841759162745394
46,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,8,2.484147218499921
47,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,3,2.4841333913098147
48,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,2,2.3981739137510463
49,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,3,2.270430562028131
50,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,6,2.4219345256609777
51,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,5,2.71451062654061
52,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,7,2.4845160294592517
53,4,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmin,9,2.484696097049732
54,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,9,3.1317391197162254
55,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,1,2.781909328146065
56,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,8,2.3109922328120023
57,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,4,2.7400404223910573
58,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,0,2.4399455184922934
59,5,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmax,7,2.7945359816790676
60,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,1,1.2770956477372488
61,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,2,1.2836643540648158
62,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,4,1.2903071658514338
63,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,8,1.2738591667533938
64,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,3,1.3312437629481038
65,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,0,1.2512265630501664
66,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,9,1.316710509805134
67,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,6,1.2583178672543027
68,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,2,1.836326211952132
69,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,5,1.8921135259039057
70,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,3,1.6371399822164423
71,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,4,2.0060554104380035
72,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,7,1.2408539336899367
73,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,8,1.5655960965866855
74,6,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.01,argmedian,5,1.350428049982125
75,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,0,1.8462842449112298
76,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,1,1.8001112512907003
77,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,7,1.9229505044230315
78,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,9,1.8218940105891435
79,7,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,min,6,1.844346373050082
80,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,4,2.4865994440260426
81,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,3,2.4859837673774003
82,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,2,2.486782157761717
83,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,0,2.4870284828437645
84,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,9,2.488796516570375
85,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,5,2.4859446443161906
86,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,1,2.4861367502840044
87,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,2,1.1664647576876293
88,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,8,2.486036379580801
89,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,6,2.4859754951272874
90,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,1,1.158725383044037
91,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,5,1.2749336095103536
92,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,6,1.5142765202213384
93,8,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,mean,7,2.486060560447933
94,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,8,1.130268114316502
95,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,9,1.1385262541155015
96,9,1000,<class 'palin.simulation.trial.Int2Trial'>,5,100,random,0.0,0,<class 'palin.internal_noise.glm_method.GLMMethod'>,python,logit,0.02,median,0,1.1386091226857276
