internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,1.0
0.0,-4,1.0,1.0
0.0,-3,1.0,0.99
0.0,-2,1.0,0.9
0.0,-1,1.0,0.79
0.0,0,1.0,0.49
0.0,1,1.0,0.27
0.0,2,1.0,0.09
0.0,3,1.0,0.01
0.0,4,1.0,0.01
0.1,-5,1.0,1.0
0.1,-4,1.0,1.0
0.1,-3,0.99,0.985
0.1,-2,0.98,0.87
0.1,-1,0.98,0.72
0.1,0,0.97,0.475
0.1,1,0.93,0.195
0.1,2,0.98,0.09
0.1,3,0.99,0.005
0.1,4,1.0,0.0
0.2,-5,1.0,1.0
0.2,-4,1.0,1.0
0.2,-3,0.99,0.965
0.2,-2,0.97,0.905
0.2,-1,0.95,0.745
0.2,0,0.96,0.53
0.2,1,0.96,0.24
0.2,2,1.0,0.07
0.2,3,0.98,0.01
0.2,4,1.0,0.0
0.3,-5,1.0,1.0
0.3,-4,0.99,0.995
0.3,-3,1.0,0.98
0.3,-2,1.0,0.94
0.3,-1,0.93,0.775
0.3,0,0.94,0.45
0.3,1,0.86,0.31
0.3,2,0.99,0.065
0.3,3,0.99,0.015
0.3,4,0.99,0.005
0.4,-5,0.99,0.995
0.4,-4,1.0,0.99
0.4,-3,0.98,0.97
0.4,-2,0.93,0.905
0.4,-1,0.92,0.74
0.4,0,0.91,0.525
0.4,1,0.89,0.275
0.4,2,0.94,0.11
0.4,3,0.98,0.05
0.4,4,1.0,0.0
0.5,-5,1.0,1.0
0.5,-4,0.96,0.98
0.5,-3,0.98,0.97
0.5,-2,0.9,0.93
0.5,-1,0.91,0.825
0.5,0,0.8,0.51
0.5,1,0.86,0.24
0.5,2,0.94,0.12
0.5,3,0.98,0.02
0.5,4,1.0,0.0
0.6000000000000001,-5,1.0,1.0
0.6000000000000001,-4,0.99,0.995
0.6000000000000001,-3,0.97,0.955
0.6000000000000001,-2,0.93,0.895
0.6000000000000001,-1,0.83,0.745
0.6000000000000001,0,0.82,0.52
0.6000000000000001,1,0.91,0.285
0.6000000000000001,2,0.87,0.165
0.6000000000000001,3,0.98,0.03
0.6000000000000001,4,0.99,0.005
0.7000000000000001,-5,1.0,1.0
0.7000000000000001,-4,0.99,0.995
0.7000000000000001,-3,0.99,0.995
0.7000000000000001,-2,0.87,0.925
0.7000000000000001,-1,0.81,0.785
0.7000000000000001,0,0.88,0.57
0.7000000000000001,1,0.82,0.25
0.7000000000000001,2,0.89,0.125
0.7000000000000001,3,0.98,0.03
0.7000000000000001,4,0.99,0.005
0.8,-5,1.0,1.0
0.8,-4,0.99,0.995
0.8,-3,0.95,0.975
0.8,-2,0.92,0.9
0.8,-1,0.86,0.73
0.8,0,0.78,0.45
0.8,1,0.79,0.285
0.8,2,0.94,0.08
0.8,3,0.97,0.015
0.8,4,0.99,0.015
0.9,-5,1.0,1.0
0.9,-4,0.96,0.98
0.9,-3,0.96,0.98
0.9,-2,0.91,0.905
0.9,-1,0.8,0.69
0.9,0,0.77,0.555
0.9,1,0.77,0.255
0.9,2,0.92,0.12
0.9,3,0.97,0.035
0.9,4,0.99,0.015
1.0,-5,1.0,1.0
1.0,-4,0.97,0.975
1.0,-3,0.95,0.945
1.0,-2,0.86,0.86
1.0,-1,0.77,0.725
1.0,0,0.76,0.51
1.0,1,0.77,0.275
1.0,2,0.9,0.12
1.0,3,0.91,0.075
1.0,4,0.98,0.01
1.1,-5,1.0,1.0
1.1,-4,0.98,0.99
1.1,-3,0.92,0.95
1.1,-2,0.79,0.855
1.1,-1,0.77,0.715
1.1,0,0.72,0.54
1.1,1,0.77,0.335
1.1,2,0.77,0.205
1.1,3,0.96,0.04
1.1,4,0.98,0.02
1.2000000000000002,-5,0.99,0.995
1.2000000000000002,-4,0.96,0.98
