internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9997999999999999
0.0,-4,1.0,0.9971
0.0,-3,1.0,0.9846
0.0,-2,1.0,0.9198000000000001
0.0,-1,1.0,0.7544000000000001
0.0,0,1.0,0.5027
0.0,1,1.0,0.23729999999999998
0.0,2,1.0,0.0819
0.0,3,1.0,0.017099999999999997
0.0,4,1.0,0.0025
0.1,-5,1.0,0.9998000000000001
0.1,-4,0.9996,0.9978
0.1,-3,0.9960000000000001,0.9816
0.1,-2,0.9879,0.91855
0.1,-1,0.9749000000000001,0.75895
0.1,0,0.9686,0.5064
0.1,1,0.9741,0.24775
0.1,2,0.9882,0.07730000000000001
0.1,3,0.9972,0.019700000000000002
0.1,4,0.9994999999999999,0.00335
0.2,-5,1.0,0.9997
0.2,-4,0.9984999999999999,0.9974500000000001
0.2,-3,0.9932000000000001,0.9829000000000001
0.2,-2,0.9751,0.92805
0.2,-1,0.9466999999999999,0.75685
0.2,0,0.9349000000000001,0.49365
0.2,1,0.9490999999999999,0.24405000000000002
0.2,2,0.9754999999999999,0.08235
0.2,3,0.9935,0.01755
0.2,4,0.9982,0.0028
0.30000000000000004,-5,0.9998000000000001,0.9997999999999999
0.30000000000000004,-4,0.9982,0.9971
0.30000000000000004,-3,0.9873,0.98095
0.30000000000000004,-2,0.9682999999999999,0.9169499999999999
0.30000000000000004,-1,0.9259999999999999,0.764
0.30000000000000004,0,0.9094000000000001,0.49610000000000004
0.30000000000000004,1,0.9262,0.2424
0.30000000000000004,2,0.9628,0.0829
0.30000000000000004,3,0.9892,0.0191
0.30000000000000004,4,0.9981,0.00275
0.4,-5,0.9997,0.99975
0.4,-4,0.9972,0.9967
0.4,-3,0.9847999999999999,0.9802
0.4,-2,0.9545999999999999,0.9179
0.4,-1,0.9017,0.75205
0.4,0,0.8724000000000001,0.505
0.4,1,0.9017,0.25415
0.4,2,0.9525,0.08625000000000001
0.4,3,0.9852000000000001,0.0196
0.4,4,0.9981,0.00255
0.5,-5,0.9994,0.9997
0.5,-4,0.9955999999999999,0.9957
0.5,-3,0.9802,0.9771000000000001
0.5,-2,0.9408,0.9080999999999999
0.5,-1,0.8805,0.7516499999999999
0.5,0,0.8487,0.50135
0.5,1,0.8762000000000001,0.257
0.5,2,0.9420999999999999,0.08615
0.5,3,0.9799,0.019950000000000002
0.5,4,0.9964999999999999,0.00335
0.6000000000000001,-5,0.9996,0.9998000000000001
0.6000000000000001,-4,0.9945999999999999,0.9952
0.6000000000000001,-3,0.9768000000000001,0.9758000000000001
0.6000000000000001,-2,0.9233,0.9026500000000001
0.6000000000000001,-1,0.8577999999999999,0.7414000000000001
0.6000000000000001,0,0.825,0.49989999999999996
0.6000000000000001,1,0.8581,0.26125
0.6000000000000001,2,0.9226000000000001,0.09340000000000001
0.6000000000000001,3,0.9762000000000001,0.0257
0.6000000000000001,4,0.9946999999999999,0.00455
0.7000000000000001,-5,0.9987,0.99925
0.7000000000000001,-4,0.9928000000000001,0.9944000000000001
0.7000000000000001,-3,0.9671,0.96965
0.7000000000000001,-2,0.914,0.9005000000000001
0.7000000000000001,-1,0.8271,0.73195
0.7000000000000001,0,0.7923,0.5005499999999999
0.7000000000000001,1,0.8248,0.263
0.7000000000000001,2,0.9093,0.09715
0.7000000000000001,3,0.9689,0.03095
0.7000000000000001,4,0.9924,0.0058
0.8,-5,0.9981,0.99875
0.8,-4,0.9917999999999999,0.9933
0.8,-3,0.96,0.967
0.8,-2,0.8986000000000001,0.89
0.8,-1,0.8087,0.72585
0.8,0,0.7754000000000001,0.4974
0.8,1,0.8109999999999999,0.2683
0.8,2,0.9007,0.10674999999999998
0.8,3,0.9625999999999999,0.0328
0.8,4,0.9914,0.0063
0.9,-5,0.998,0.9989000000000001
0.9,-4,0.9878,0.9922000000000001
0.9,-3,0.9522,0.9627000000000001
0.9,-2,0.884,0.8882999999999999
0.9,-1,0.7936,0.7212
0.9,0,0.7495,0.49734999999999996
0.9,1,0.7978000000000001,0.2633
0.9,2,0.8840999999999999,0.11565
0.9,3,0.9509000000000001,0.03795
0.9,4,0.9866999999999999,0.00895
1.0,-5,0.9971,0.99825
1.0,-4,0.9837,0.98885
1.0,-3,0.9474,0.9602
1.0,-2,0.8663000000000001,0.87295
1.0,-1,0.7694,0.7159
1.0,0,0.7394000000000001,0.5043
1.0,1,0.7764,0.2814
1.0,2,0.8671,0.12395
1.0,3,0.9479,0.04155
1.0,4,0.9849,0.00945
1.1,-5,0.9951000000000001,0.99735
1.1,-4,0.9781000000000001,0.98605
1.1,-3,0.9376,0.953
1.1,-2,0.8544,0.8664
1.1,-1,0.7538,0.7068
1.1,0,0.7081999999999999,0.4955
1.1,1,0.7576,0.2863
1.1,2,0.858,0.13240000000000002
1.1,3,0.9390000000000001,0.0448
1.1,4,0.9798,0.0131
1.2000000000000002,-5,0.9943,0.99685
1.2000000000000002,-4,0.9746,0.984
1.2000000000000002,-3,0.9269999999999999,0.946
1.2000000000000002,-2,0.8455999999999999,0.8654999999999999
1.2000000000000002,-1,0.7404,0.7072
1.2000000000000002,0,0.6990000000000001,0.4998
1.2000000000000002,1,0.7458,0.2929
1.2000000000000002,2,0.8400000000000001,0.1348
1.2000000000000002,3,0.9308,0.0503
1.2000000000000002,4,0.9742,0.0149
1.3,-5,0.9923,0.99595
1.3,-4,0.9667999999999999,0.9804999999999999
1.3,-3,0.9149,0.93855
1.3,-2,0.8221999999999999,0.852
1.3,-1,0.7182,0.6982
