internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9997999999999999
0.0,-4,1.0,0.9982
0.0,-3,1.0,0.9826
0.0,-2,1.0,0.9203000000000001
0.0,-1,1.0,0.7562
0.0,0,1.0,0.5
0.0,1,1.0,0.23759999999999998
0.0,2,1.0,0.08199999999999999
0.0,3,1.0,0.015
0.0,4,1.0,0.002
0.1,-5,0.9999,0.99985
0.1,-4,0.9995,0.99795
0.1,-3,0.9981,0.9836500000000001
0.1,-2,0.9843999999999999,0.9160999999999999
0.1,-1,0.9741,0.7636499999999999
0.1,0,0.9696999999999999,0.49665
0.1,1,0.9763999999999999,0.24050000000000002
0.1,2,0.9882,0.0733
0.1,3,0.9965999999999999,0.017499999999999998
0.1,4,0.9997,0.0014500000000000001
0.2,-5,0.9997999999999999,0.9997999999999999
0.2,-4,0.9987,0.99755
0.2,-3,0.9925,0.98135
0.2,-2,0.9728,0.9179999999999999
0.2,-1,0.9503999999999999,0.7577999999999999
0.2,0,0.9346,0.4965
0.2,1,0.9494,0.24289999999999998
0.2,2,0.9743,0.08145
0.2,3,0.9926,0.0185
0.2,4,0.9986,0.0034000000000000002
0.30000000000000004,-5,0.9996,0.9996
0.30000000000000004,-4,0.9987,0.99705
0.30000000000000004,-3,0.9892,0.9818
0.30000000000000004,-2,0.9645999999999999,0.9202999999999999
0.30000000000000004,-1,0.9286000000000001,0.7555
0.30000000000000004,0,0.9017,0.50085
0.30000000000000004,1,0.9273,0.24325000000000002
0.30000000000000004,2,0.9622999999999999,0.08455
0.30000000000000004,3,0.9883,0.01895
0.30000000000000004,4,0.9981,0.0035499999999999998
0.4,-5,0.9994,0.9996
0.4,-4,0.9971,0.9967500000000001
0.4,-3,0.9833999999999999,0.9774
0.4,-2,0.9464,0.9099
0.4,-1,0.9031,0.75015
0.4,0,0.8747,0.49894999999999995
0.4,1,0.8992000000000001,0.2492
0.4,2,0.9559,0.08195
0.4,3,0.9869,0.020249999999999997
0.4,4,0.9972,0.0036
0.5,-5,0.9997,0.9996500000000001
0.5,-4,0.9962,0.9964999999999999
0.5,-3,0.9792,0.9763999999999999
0.5,-2,0.9343999999999999,0.9021000000000001
0.5,-1,0.8723000000000001,0.74125
0.5,0,0.8506,0.5109999999999999
0.5,1,0.8817999999999999,0.25179999999999997
0.5,2,0.9372999999999999,0.09215
0.5,3,0.9786999999999999,0.02445
0.5,4,0.9952,0.004
0.6000000000000001,-5,0.999,0.9995
0.6000000000000001,-4,0.9952,0.9960000000000001
0.6000000000000001,-3,0.9775,0.97475
0.6000000000000001,-2,0.9283000000000001,0.9022500000000001
