internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9996
0.0,-4,1.0,0.9987
0.0,-3,1.0,0.9815999999999999
0.0,-2,1.0,0.9184000000000001
0.0,-1,1.0,0.7643
0.0,0,1.0,0.5077
0.0,1,1.0,0.2366
0.0,2,1.0,0.0789
0.0,3,1.0,0.0157
0.0,4,1.0,0.0010999999999999998
0.1,-5,0.9999,0.9996500000000001
0.1,-4,0.9996,0.9976
0.1,-3,0.9967,0.9840500000000001
0.1,-2,0.9865,0.9159499999999999
0.1,-1,0.9768000000000001,0.7638
0.1,0,0.9674999999999999,0.49815
0.1,1,0.9744999999999999,0.24025
0.1,2,0.9883,0.07995
0.1,3,0.9968999999999999,0.01815
0.1,4,0.9991,0.00245
0.2,-5,0.9998000000000001,0.9998000000000001
0.2,-4,0.9992000000000001,0.9978
0.2,-3,0.994,0.9823999999999999
0.2,-2,0.9765,0.91465
0.2,-1,0.9491999999999999,0.7628
0.2,0,0.9416,0.49420000000000003
0.2,1,0.9497,0.23095
0.2,2,0.974,0.0825
0.2,3,0.9916,0.018
0.2,4,0.9984,0.0028
0.30000000000000004,-5,0.9997,0.99985
0.30000000000000004,-4,0.998,0.9959
0.30000000000000004,-3,0.9904,0.9804999999999999
0.30000000000000004,-2,0.9629,0.91585
0.30000000000000004,-1,0.929,0.7647
0.30000000000000004,0,0.9091000000000001,0.5023500000000001
0.30000000000000004,1,0.9327,0.23725000000000002
0.30000000000000004,2,0.9612,0.0878
0.30000000000000004,3,0.9882,0.0193
0.30000000000000004,4,0.9977,0.0030499999999999998
0.4,-5,0.9995,0.9993500000000001
0.4,-4,0.9972,0.9974000000000001
0.4,-3,0.9853,0.9765499999999999
0.4,-2,0.9494,0.9103
0.4,-1,0.8956,0.746
0.4,0,0.8765000000000001,0.50535
0.4,1,0.9021000000000001,0.25034999999999996
0.4,2,0.9532,0.0921
0.4,3,0.9843999999999999,0.0212
0.4,4,0.9970000000000001,0.0034999999999999996
0.5,-5,0.9997,0.9996500000000001
0.5,-4,0.9963,0.9967500000000001
0.5,-3,0.9785,0.9772500000000001
0.5,-2,0.9403,0.90815
0.5,-1,0.8808999999999999,0.74825
0.5,0,0.8491,0.50195
0.5,1,0.8804000000000001,0.25780000000000003
0.5,2,0.9411999999999999,0.0876
0.5,3,0.9810000000000001,0.022899999999999997
0.5,4,0.9962,0.004
0.6000000000000001,-5,0.9991,0.9994500000000001
0.6000000000000001,-4,0.9951000000000001,0.9952500000000001
0.6000000000000001,-3,0.9781000000000001,0.97525
0.6000000000000001,-2,0.9242000000000001,0.9061999999999999
0.6000000000000001,-1,0.8648,0.7454000000000001
0.6000000000000001,0,0.8176,0.5021
0.6000000000000001,1,0.8592000000000001,0.2571
0.6000000000000001,2,0.9255000000000001,0.09605
0.6000000000000001,3,0.9753000000000001,0.02585
0.6000000000000001,4,0.9949999999999999,0.004
0.7000000000000001,-5,0.9986,0.9993000000000001
0.7000000000000001,-4,0.9936,0.9945
0.7000000000000001,-3,0.9696,0.9710000000000001
0.7000000000000001,-2,0.9123000000000001,0.89595
0.7000000000000001,-1,0.8272999999999999,0.73595
0.7000000000000001,0,0.7976,0.5015
0.7000000000000001,1,0.8347999999999999,0.259
0.7000000000000001,2,0.9094000000000001,0.1058
0.7000000000000001,3,0.9714,0.026600000000000002
0.7000000000000001,4,0.9917,0.00615
0.8,-5,0.9984999999999999,0.9990500000000001
0.8,-4,0.9924,0.9936999999999999
0.8,-3,0.9610999999999998,0.96655
0.8,-2,0.8949,0.8891500000000001
0.8,-1,0.8168,0.7304
0.8,0,0.7716000000000001,0.503
0.8,1,0.8103999999999999,0.2742
0.8,2,0.897,0.1059
0.8,3,0.9602999999999999,0.032850000000000004
0.8,4,0.9898999999999999,0.0072499999999999995
0.9,-5,0.9977,0.99875
0.9,-4,0.9875999999999999,0.9919
0.9,-3,0.9521,0.9643499999999999
0.9,-2,0.8814,0.8795
0.9,-1,0.7947,0.72515
0.9,0,0.751,0.499
0.9,1,0.7906000000000001,0.2782
0.9,2,0.8844,0.1216
0.9,3,0.9551000000000001,0.03475
0.9,4,0.9883,0.00825
1.0,-5,0.9961,0.99785
1.0,-4,0.9855,0.99055
1.0,-3,0.9461,0.9576499999999999
1.0,-2,0.861,0.8733000000000001
1.0,-1,0.7725000000000001,0.71985
1.0,0,0.7354999999999999,0.50255
1.0,1,0.7758,0.28090000000000004
1.0,2,0.8727,0.12165
1.0,3,0.9482999999999999,0.03785
1.0,4,0.9852000000000001,0.0099
1.1,-5,0.9949999999999999,0.9974000000000001
1.1,-4,0.9785999999999999,0.9870000000000001
1.1,-3,0.9366,0.9525
1.1,-2,0.8516999999999999,0.8673500000000001
1.1,-1,0.7641,0.70985
1.1,0,0.7108,0.4992
1.1,1,0.7623,0.28815
1.1,2,0.8526,0.1285
1.1,3,0.9391999999999999,0.046400000000000004
1.1,4,0.9799,0.01235
1.2000000000000002,-5,0.9952,0.9974999999999999
1.2000000000000002,-4,0.9730000000000001,0.9835
1.2000000000000002,-3,0.9239,0.9445499999999999
1.2000000000000002,-2,0.8389,0.86005
1.2000000000000002,-1,0.74,0.7013999999999999
1.2000000000000002,0,0.7034,0.5045
1.2000000000000002,1,0.7451,0.29345
1.2000000000000002,2,0.8395999999999999,0.1429
1.2000000000000002,3,0.9278000000000001,0.052000000000000005
1.2000000000000002,4,0.9744999999999999,0.01665
1.3,-5,0.9929,0.99595
1.3,-4,0.9699,0.98125
1.3,-3,0.9141,0.93915
1.3,-2,0.8323,0.85335
1.3,-1,0.7256,0.7013
1.3,0,0.6792,0.4984
1.3,1,0.7252,0.3033
1.3,2,0.8189,0.14995
1.3,3,0.9200000000000002,0.0593
1.3,4,0.9696999999999999,0.01935
1.4000000000000001,-5,0.9891,0.99405
1.4000000000000001,-4,0.9662,0.9803000000000001
1.4000000000000001,-3,0.9009,0.93305
1.4000000000000001,-2,0.8088000000000001,0.8436
1.4000000000000001,-1,0.7159,0.69485
1.4000000000000001,0,0.6678000000000001,0.5006999999999999
1.4000000000000001,1,0.7066,0.30979999999999996
1.4000000000000001,2,0.819,0.1535
1.4000000000000001,3,0.9056000000000001,0.064
1.4000000000000001,4,0.9632999999999999,0.02195
1.5,-5,0.9869999999999999,0.9924
1.5,-4,0.9581999999999999,0.9743999999999999
1.5,-3,0.8952,0.9273
1.5,-2,0.7966,0.8300000000000001
1.5,-1,0.6939,0.69025
1.5,0,0.6627000000000001,0.50615
1.5,1,0.7015,0.30715
1.5,2,0.7979,0.16394999999999998
1.5,3,0.8867,0.07494999999999999
1.5,4,0.9559,0.026350000000000002
1.6,-5,0.9842000000000001,0.9909000000000001
1.6,-4,0.9490000000000001,0.9693999999999999
