internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9999
0.0,-4,1.0,0.9977
0.0,-3,1.0,0.9846999999999999
0.0,-2,1.0,0.9204000000000001
0.0,-1,1.0,0.7614
0.0,0,1.0,0.491
0.0,1,1.0,0.2415
0.0,2,1.0,0.0833
0.0,3,1.0,0.0161
0.0,4,1.0,0.0017000000000000001
0.1,-5,1.0,0.9997
0.1,-4,0.9993000000000001,0.9967500000000001
0.1,-3,0.9965999999999999,0.985
0.1,-2,0.9896,0.9199999999999999
0.1,-1,0.9759,0.75295
0.1,0,0.9666,0.5019
0.1,1,0.9762000000000001,0.23900000000000002
0.1,2,0.9887,0.08045
0.1,3,0.9959,0.01725
0.1,4,0.9987,0.00255
0.2,-5,1.0,0.9998000000000001
0.2,-4,0.9983000000000001,0.9962500000000001
0.2,-3,0.9941000000000001,0.98415
0.2,-2,0.9751999999999998,0.9205
0.2,-1,0.9522999999999999,0.75535
0.2,0,0.9397,0.49505
0.2,1,0.9488,0.23879999999999998
0.2,2,0.9761,0.08125
0.2,3,0.9914,0.0178
0.2,4,0.9986,0.0035000000000000005
0.30000000000000004,-5,0.9995,0.9996500000000001
0.30000000000000004,-4,0.9987,0.99795
0.30000000000000004,-3,0.9913000000000001,0.9823500000000001
0.30000000000000004,-2,0.9641,0.9177500000000001
0.30000000000000004,-1,0.9267,0.75325
0.30000000000000004,0,0.9063000000000001,0.50415
0.30000000000000004,1,0.9252,0.2455
0.30000000000000004,2,0.9653,0.07885
0.30000000000000004,3,0.9877,0.01915
0.30000000000000004,4,0.9978,0.0029000000000000002
0.4,-5,0.9999,0.99985
0.4,-4,0.9981,0.9967499999999999
0.4,-3,0.986,0.9803000000000001
0.4,-2,0.9480999999999999,0.91135
0.4,-1,0.9088,0.7575000000000001
0.4,0,0.8765000000000001,0.50035
0.4,1,0.8941000000000001,0.24535
0.4,2,0.9490999999999999,0.08985
0.4,3,0.986,0.019700000000000002
0.4,4,0.9968999999999999,0.00275
0.5,-5,0.9996,0.9997
0.5,-4,0.9961,0.9961500000000001
0.5,-3,0.9810000000000001,0.9761
0.5,-2,0.9419000000000001,0.9097500000000001
0.5,-1,0.8808999999999999,0.74965
0.5,0,0.8465,0.50615
0.5,1,0.8753,0.25615
0.5,2,0.9437999999999999,0.0876
0.5,3,0.9800000000000001,0.0229
0.5,4,0.9968999999999999,0.00375
0.6000000000000001,-5,0.9989000000000001,0.99915
0.6000000000000001,-4,0.9938,0.9947000000000001
0.6000000000000001,-3,0.9785,0.97625
0.6000000000000001,-2,0.9213000000000001,0.90495
0.6000000000000001,-1,0.8595,0.7462500000000001
0.6000000000000001,0,0.8251,0.5035499999999999
0.6000000000000001,1,0.8557,0.25355
