internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9999
0.0,-4,1.0,0.9977
0.0,-3,1.0,0.9833999999999999
0.0,-2,1.0,0.9292
0.0,-1,1.0,0.7683
0.0,0,1.0,0.4948
0.0,1,1.0,0.2439
0.0,2,1.0,0.07880000000000001
0.0,3,1.0,0.0167
0.0,4,1.0,0.0031
0.1,-5,0.9999,0.9996500000000001
0.1,-4,0.9993000000000001,0.9976499999999999
0.1,-3,0.9972,0.9853
0.1,-2,0.9893000000000001,0.91995
0.1,-1,0.9765,0.76145
0.1,0,0.9681,0.50305
0.1,1,0.9744999999999999,0.23915000000000003
0.1,2,0.9884000000000001,0.0772
0.1,3,0.9978,0.0157
0.1,4,0.9991,0.00245
0.2,-5,1.0,0.9999
0.2,-4,0.9992000000000001,0.9973000000000001
0.2,-3,0.9922000000000001,0.9819000000000001
0.2,-2,0.9757999999999999,0.9156000000000001
0.2,-1,0.9513999999999999,0.7578
0.2,0,0.9397,0.50245
0.2,1,0.9494,0.2386
0.2,2,0.9763,0.07475
0.2,3,0.9926999999999999,0.02055
0.2,4,0.9989000000000001,0.0026500000000000004
0.30000000000000004,-5,0.9997999999999999,0.9997999999999999
0.30000000000000004,-4,0.9981,0.9976499999999999
0.30000000000000004,-3,0.9896,0.9821
0.30000000000000004,-2,0.9622999999999999,0.91605
0.30000000000000004,-1,0.9266,0.7578
0.30000000000000004,0,0.9080999999999999,0.50615
0.30000000000000004,1,0.9279,0.24485
0.30000000000000004,2,0.9640000000000001,0.08349999999999999
0.30000000000000004,3,0.9894000000000001,0.0182
0.30000000000000004,4,0.9978,0.0038
0.4,-5,0.9996,0.9996
0.4,-4,0.9972,0.9969000000000001
0.4,-3,0.9845,0.9774499999999999
0.4,-2,0.9517,0.9134500000000001
0.4,-1,0.901,0.7508
0.4,0,0.875,0.5042
0.4,1,0.9006000000000001,0.2487
0.4,2,0.9516,0.0862
0.4,3,0.9834999999999999,0.02145
0.4,4,0.9960000000000001,0.0042
0.5,-5,0.9997999999999999,0.9997
0.5,-4,0.9952,0.9958
0.5,-3,0.9797,0.97635
0.5,-2,0.9395999999999999,0.9080999999999999
0.5,-1,0.8791,0.74585
0.5,0,0.8487,0.50005
0.5,1,0.8782,0.2504
0.5,2,0.9393,0.09035
0.5,3,0.9814,0.0225
0.5,4,0.9957,0.00435
0.6000000000000001,-5,0.9994,0.9996
0.6000000000000001,-4,0.9933,0.99455
0.6000000000000001,-3,0.974,0.9739000000000001
0.6000000000000001,-2,0.9263999999999999,0.9025000000000001
0.6000000000000001,-1,0.8611000000000001,0.74525
0.6000000000000001,0,0.8170999999999999,0.49185
0.6000000000000001,1,0.8554999999999999,0.25975000000000004
0.6000000000000001,2,0.9243,0.09595000000000001
