internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9999
0.0,-4,1.0,0.9987999999999999
0.0,-3,1.0,0.9814999999999999
0.0,-2,1.0,0.9159
0.0,-1,1.0,0.7624000000000001
0.0,0,1.0,0.4997
0.0,1,1.0,0.2413
0.0,2,1.0,0.08109999999999999
0.0,3,1.0,0.0164
0.0,4,1.0,0.0013000000000000002
0.1,-5,1.0,0.9998000000000001
0.1,-4,0.9993000000000001,0.9971500000000001
0.1,-3,0.9968,0.9835
0.1,-2,0.9884999999999999,0.92165
0.1,-1,0.9736,0.7572
0.1,0,0.9676,0.5038
0.1,1,0.9754999999999999,0.24095
0.1,2,0.9881,0.07765
0.1,3,0.9968,0.0158
0.1,4,0.9994,0.0019
0.2,-5,1.0,0.9999
0.2,-4,0.9984,0.9974999999999999
0.2,-3,0.9926,0.9827
0.2,-2,0.9761,0.92125
0.2,-1,0.9458,0.7586999999999999
0.2,0,0.9327,0.49555
0.2,1,0.9493,0.24995000000000003
0.2,2,0.9769,0.08125
0.2,3,0.9926,0.0169
0.2,4,0.9991,0.00275
0.30000000000000004,-5,1.0,0.9997999999999999
0.30000000000000004,-4,0.9974999999999999,0.99695
0.30000000000000004,-3,0.9892,0.9795
0.30000000000000004,-2,0.9612999999999999,0.9185500000000001
0.30000000000000004,-1,0.9271,0.76165
0.30000000000000004,0,0.9105000000000001,0.50265
0.30000000000000004,1,0.9287000000000001,0.24794999999999998
0.30000000000000004,2,0.9671,0.08055
0.30000000000000004,3,0.9894999999999999,0.018349999999999998
0.30000000000000004,4,0.998,0.004
0.4,-5,0.9997,0.9996500000000001
0.4,-4,0.9975999999999999,0.9967
0.4,-3,0.9839,0.9775500000000001
0.4,-2,0.9574,0.9207000000000001
0.4,-1,0.9028,0.7546999999999999
0.4,0,0.8743000000000001,0.50125
0.4,1,0.9017,0.24935000000000002
0.4,2,0.9503999999999999,0.086
0.4,3,0.9856,0.020200000000000003
0.4,4,0.9975999999999999,0.0027
0.5,-5,0.9996,0.9997999999999999
0.5,-4,0.9964999999999999,0.99635
0.5,-3,0.9778,0.9763
0.5,-2,0.9347,0.9097500000000001
0.5,-1,0.8759,0.74365
0.5,0,0.8465999999999999,0.49870000000000003
0.5,1,0.8747999999999999,0.2488
0.5,2,0.9397,0.08565
0.5,3,0.982,0.0251
0.5,4,0.9965999999999999,0.003
0.6000000000000001,-5,0.999,0.999
0.6000000000000001,-4,0.9941000000000001,0.9952500000000001
0.6000000000000001,-3,0.9728,0.9734
0.6000000000000001,-2,0.9249,0.90535
0.6000000000000001,-1,0.8532,0.7435
0.6000000000000001,0,0.8251999999999999,0.4951
0.6000000000000001,1,0.8593999999999999,0.25739999999999996
0.6000000000000001,2,0.9277000000000001,0.09365
0.6000000000000001,3,0.9734999999999999,0.02555
0.6000000000000001,4,0.9949999999999999,0.0043
0.7000000000000001,-5,0.9989000000000001,0.9993500000000001
0.7000000000000001,-4,0.9938,0.9951000000000001
0.7000000000000001,-3,0.9673999999999999,0.9712
0.7000000000000001,-2,0.9141999999999999,0.9029999999999999
0.7000000000000001,-1,0.8318,0.7386
0.7000000000000001,0,0.7965,0.50935
0.7000000000000001,1,0.8401,0.26545
0.7000000000000001,2,0.9085000000000001,0.10245
0.7000000000000001,3,0.9708,0.027100000000000003
0.7000000000000001,4,0.9942,0.0047
0.8,-5,0.9975999999999999,0.9987
0.8,-4,0.9903000000000001,0.9939500000000001
0.8,-3,0.9658999999999999,0.9708500000000001
0.8,-2,0.8986000000000001,0.8917999999999999
0.8,-1,0.8088000000000001,0.7299
0.8,0,0.7737,0.49855
0.8,1,0.8097,0.27535
0.8,2,0.899,0.10840000000000001
0.8,3,0.9632999999999999,0.032850000000000004
0.8,4,0.9926,0.005900000000000001
0.9,-5,0.9974000000000001,0.9984
0.9,-4,0.9859,0.99095
0.9,-3,0.9555,0.9614499999999999
0.9,-2,0.8762000000000001,0.8843
0.9,-1,0.7947,0.72115
0.9,0,0.7483,0.49405
0.9,1,0.7935000000000001,0.27895
0.9,2,0.8827999999999999,0.1162
0.9,3,0.9536,0.038
0.9,4,0.9869,0.00955
1.0,-5,0.9964999999999999,0.99755
1.0,-4,0.9833000000000001,0.98885
1.0,-3,0.9416,0.9568999999999999
1.0,-2,0.8701000000000001,0.8806499999999999
1.0,-1,0.776,0.7154
1.0,0,0.7287,0.49135
1.0,1,0.7762,0.281
1.0,2,0.8674,0.1246
1.0,3,0.9464,0.0423
1.0,4,0.983,0.0115
1.1,-5,0.9964999999999999,0.99785
1.1,-4,0.9793,0.98565
1.1,-3,0.9387000000000001,0.9557499999999999
1.1,-2,0.8531000000000001,0.87005
1.1,-1,0.7501,0.70625
1.1,0,0.7133,0.49375
1.1,1,0.7597,0.28245
1.1,2,0.8488999999999999,0.13305
1.1,3,0.9353999999999999,0.0448
1.1,4,0.9781000000000001,0.01395
1.2000000000000002,-5,0.9949,0.99695
1.2000000000000002,-4,0.975,0.9845
1.2000000000000002,-3,0.9267000000000001,0.94825
1.2000000000000002,-2,0.8436999999999999,0.85875
1.2000000000000002,-1,0.7398,0.7109
1.2000000000000002,0,0.7051000000000001,0.49805
1.2000000000000002,1,0.7433,0.29674999999999996
1.2000000000000002,2,0.8439,0.14185
1.2000000000000002,3,0.9214,0.05550000000000001
1.2000000000000002,4,0.9747999999999999,0.014700000000000001
1.3,-5,0.9936999999999999,0.99635
1.3,-4,0.9671,0.98005
1.3,-3,0.9134,0.9408
1.3,-2,0.8307,0.8544499999999999
1.3,-1,0.7287,0.69865
1.3,0,0.6854,0.5003
1.3,1,0.7281,0.30595
1.3,2,0.8205,0.15595
1.3,3,0.9135,0.061250000000000006
1.3,4,0.9711000000000001,0.01775
1.4000000000000001,-5,0.9891,0.9943500000000001
1.4000000000000001,-4,0.967,0.9789999999999999
1.4000000000000001,-3,0.9003,0.9314500000000001
1.4000000000000001,-2,0.8042,0.8394999999999999
1.4000000000000001,-1,0.716,0.6916
1.4000000000000001,0,0.675,0.5011
1.4000000000000001,1,0.7053,0.31084999999999996
1.4000000000000001,2,0.8036,0.1627
1.4000000000000001,3,0.9113,0.06415
1.4000000000000001,4,0.9609,0.02345
1.5,-5,0.9853,0.99175
1.5,-4,0.9568,0.9734
1.5,-3,0.8852,0.9235
1.5,-2,0.8027000000000001,0.83605
1.5,-1,0.6892,0.6793
1.5,0,0.656,0.4984
1.5,1,0.6986,0.30789999999999995
1.5,2,0.8018000000000001,0.1627
1.5,3,0.8925000000000001,0.07345
1.5,4,0.9583999999999999,0.0257
1.6,-5,0.9807,0.9891500000000001
1.6,-4,0.9542999999999999,0.97195
1.6,-3,0.8788,0.9196
1.6,-2,0.7778,0.8262
1.6,-1,0.6826000000000001,0.6804
1.6,0,0.6437,0.49645
1.6,1,0.6867,0.31605
1.6,2,0.7811,0.17734999999999998
1.6,3,0.8808999999999999,0.07944999999999999
1.6,4,0.9512,0.03
1.7000000000000002,-5,0.976,0.9871000000000001
1.7000000000000002,-4,0.9419000000000001,0.96445
1.7000000000000002,-3,0.8766,0.9157
1.7000000000000002,-2,0.7625,0.8130499999999999
1.7000000000000002,-1,0.669,0.6671
1.7000000000000002,0,0.6358,0.5014
1.7000000000000002,1,0.6772,0.3246
1.7000000000000002,2,0.7629,0.18614999999999998
1.7000000000000002,3,0.8694,0.0884
1.7000000000000002,4,0.9468,0.0327
1.8,-5,0.974,0.9856999999999999
1.8,-4,0.9291,0.9590500000000001
1.8,-3,0.8591,0.90565
1.8,-2,0.7572,0.8109
1.8,-1,0.6581,0.66475
1.8,0,0.6208,0.5054000000000001
1.8,1,0.6645000000000001,0.33335
1.8,2,0.7558,0.1859
1.8,3,0.8647,0.09185
1.8,4,0.9347,0.04085
1.9000000000000001,-5,0.9666,0.9810000000000001
1.9000000000000001,-4,0.9229,0.95525
1.9000000000000001,-3,0.8472999999999999,0.8957499999999999
1.9000000000000001,-2,0.7421,0.79775
1.9000000000000001,-1,0.648,0.6662
1.9000000000000001,0,0.6149,0.49515000000000003
1.9000000000000001,1,0.6495,0.33575
1.9000000000000001,2,0.7472,0.1948
1.9000000000000001,3,0.8431,0.10415
1.9000000000000001,4,0.9192,0.0475
2.0,-5,0.962,0.9783
2.0,-4,0.9120000000000001,0.9483
2.0,-3,0.8371000000000001,0.89085
2.0,-2,0.7302,0.7908999999999999
2.0,-1,0.6406000000000001,0.6607000000000001
2.0,0,0.6112,0.5032
2.0,1,0.6445000000000001,0.33885
2.0,2,0.7327999999999999,0.2065
2.0,3,0.8317,0.11374999999999999
2.0,4,0.9139000000000002,0.04945
2.1,-5,0.9564,0.9761
2.1,-4,0.9074,0.9446
2.1,-3,0.821,0.8850999999999999
2.1,-2,0.7184999999999999,0.78365
2.1,-1,0.6321,0.65455
2.1,0,0.6009,0.49835
2.1,1,0.633,0.3472
2.1,2,0.7249,0.21234999999999998
2.1,3,0.8218,0.1197
2.1,4,0.9042,0.05600000000000001
2.2,-5,0.9514999999999999,0.97355
2.2,-4,0.8923,0.93735
2.2,-3,0.8076000000000001,0.8747999999999999
2.2,-2,0.7123999999999999,0.7764
2.2,-1,0.6311,0.64905
2.2,0,0.5955999999999999,0.49450000000000005
2.2,1,0.6269,0.35764999999999997
2.2,2,0.7162999999999999,0.22325
2.2,3,0.8154999999999999,0.12235
2.2,4,0.8935000000000001,0.06295
2.3000000000000003,-5,0.942,0.9683999999999999
2.3000000000000003,-4,0.8865999999999999,0.9308
2.3000000000000003,-3,0.8056000000000001,0.8680999999999999
2.3000000000000003,-2,0.7016,0.7725
2.3000000000000003,-1,0.6199,0.6446500000000001
2.3000000000000003,0,0.5944999999999999,0.50755
2.3000000000000003,1,0.6123000000000001,0.36075
2.3000000000000003,2,0.7031,0.23304999999999998
2.3000000000000003,3,0.7931,0.13395
2.3000000000000003,4,0.8826,0.0717
2.4000000000000004,-5,0.9347,0.96295
2.4000000000000004,-4,0.8728,0.9233
2.4000000000000004,-3,0.7907,0.86385
2.4000000000000004,-2,0.6945,0.7605500000000001
2.4000000000000004,-1,0.6151,0.64715
2.4000000000000004,0,0.5755,0.49754999999999994
2.4000000000000004,1,0.6093,0.35955
2.4000000000000004,2,0.6894,0.2412
2.4000000000000004,3,0.788,0.1399
2.4000000000000004,4,0.877,0.0741
2.5,-5,0.9283000000000001,0.9602499999999999
2.5,-4,0.8657,0.9196500000000001
2.5,-3,0.7826000000000001,0.8568999999999999
2.5,-2,0.6791,0.76165
2.5,-1,0.5959,0.6329499999999999
2.5,0,0.572,0.49849999999999994
2.5,1,0.6073999999999999,0.36970000000000003
