internal_noise_std,criteria,prob_agree,prob_first
0.0,-5,1.0,0.9999
0.0,-4,1.0,0.9981
0.0,-3,1.0,0.9817
0.0,-2,1.0,0.9216000000000001
0.0,-1,1.0,0.7649
0.0,0,1.0,0.5019
0.0,1,1.0,0.2428
0.0,2,1.0,0.0759
0.0,3,1.0,0.017
0.0,4,1.0,0.003
0.1,-5,1.0,0.9997
0.1,-4,0.9989000000000001,0.9961500000000001
0.1,-3,0.9961,0.98125
0.1,-2,0.9888,0.9191
0.1,-1,0.9732,0.7604
0.1,0,0.9686,0.4997
0.1,1,0.9733,0.24025
0.1,2,0.9888,0.08549999999999999
0.1,3,0.9970000000000001,0.0154
0.1,4,0.9991,0.0025499999999999997
0.2,-5,0.9999,0.99985
0.2,-4,0.999,0.9968
0.2,-3,0.9941000000000001,0.9830500000000001
0.2,-2,0.9772000000000001,0.9194000000000001
0.2,-1,0.9488,0.7603
0.2,0,0.9333,0.49585
0.2,1,0.9511,0.24075000000000002
0.2,2,0.976,0.07980000000000001
0.2,3,0.9936,0.016900000000000002
0.2,4,0.999,0.0024000000000000002
0.30000000000000004,-5,0.9997,0.9996500000000001
0.30000000000000004,-4,0.9982,0.9971
0.30000000000000004,-3,0.9894000000000001,0.9807
0.30000000000000004,-2,0.9608000000000001,0.9169
0.30000000000000004,-1,0.9261000000000001,0.76325
0.30000000000000004,0,0.9077999999999999,0.49399999999999994
0.30000000000000004,1,0.9286,0.24100000000000002
0.30000000000000004,2,0.9629999999999999,0.0849
0.30000000000000004,3,0.9911,0.01765
0.30000000000000004,4,0.998,0.0039
0.4,-5,0.9997,0.99985
0.4,-4,0.9968999999999999,0.99695
0.4,-3,0.9843,0.9811500000000001
0.4,-2,0.9526,0.9132999999999999
0.4,-1,0.8975,0.75675
0.4,0,0.8744999999999999,0.50025
0.4,1,0.9030000000000001,0.25129999999999997
0.4,2,0.9526,0.0871
0.4,3,0.9846,0.023299999999999998
0.4,4,0.9970000000000001,0.0029000000000000002
0.5,-5,0.9993000000000001,0.9995499999999999
0.5,-4,0.9968,0.9961
0.5,-3,0.9800000000000001,0.9763999999999999
0.5,-2,0.9390000000000001,0.9061
0.5,-1,0.8821999999999999,0.7455
0.5,0,0.8402,0.4997999999999999
0.5,1,0.8800000000000001,0.2564
0.5,2,0.9400000000000001,0.0912
0.5,3,0.9805999999999999,0.024
0.5,4,0.9959,0.00335
0.6000000000000001,-5,0.999,0.9992000000000001
0.6000000000000001,-4,0.9945,0.99555
0.6000000000000001,-3,0.9744999999999999,0.97435
0.6000000000000001,-2,0.9262,0.9046
0.6000000000000001,-1,0.8613,0.74635
0.6000000000000001,0,0.8240999999999999,0.49515000000000003
0.6000000000000001,1,0.8552,0.2541
0.6000000000000001,2,0.9235,0.10075
0.6000000000000001,3,0.9728999999999999,0.02405
0.6000000000000001,4,0.9944,0.004399999999999999
0.7000000000000001,-5,0.9986,0.9993000000000001
0.7000000000000001,-4,0.9924,0.9943
0.7000000000000001,-3,0.9724999999999999,0.9740500000000001
0.7000000000000001,-2,0.9089,0.89585
0.7000000000000001,-1,0.8360999999999998,0.73705
0.7000000000000001,0,0.7941,0.49415
0.7000000000000001,1,0.8368,0.2617
0.7000000000000001,2,0.9138,0.0993
0.7000000000000001,3,0.9686999999999999,0.029249999999999998
0.7000000000000001,4,0.9919,0.00615
0.8,-5,0.9983000000000001,0.9990500000000001
0.8,-4,0.9903000000000001,0.99305
0.8,-3,0.9610999999999998,0.97005
0.8,-2,0.9006000000000001,0.8922000000000001
0.8,-1,0.8140000000000001,0.7300000000000001
0.8,0,0.7748,0.5075000000000001
0.8,1,0.8173,0.26425
0.8,2,0.9009,0.11525
0.8,3,0.9628,0.0306
0.8,4,0.9911999999999999,0.0060999999999999995
0.9,-5,0.9974000000000001,0.9984999999999999
0.9,-4,0.9893000000000001,0.99215
0.9,-3,0.9538,0.9657
0.9,-2,0.8855000000000001,0.88405
0.9,-1,0.7932,0.7245
0.9,0,0.7599,0.49894999999999995
0.9,1,0.7966,0.2804
0.9,2,0.8856999999999999,0.11115
0.9,3,0.9546999999999999,0.03705
0.9,4,0.9882,0.0076
1.0,-5,0.9981,0.99895
1.0,-4,0.984,0.9894000000000001
1.0,-3,0.9480000000000001,0.9606
1.0,-2,0.8659000000000001,0.87665
1.0,-1,0.7809,0.7121500000000001
1.0,0,0.7314,0.5018
1.0,1,0.7836000000000001,0.2782
1.0,2,0.8680999999999999,0.12265
1.0,3,0.9442,0.0411
1.0,4,0.983,0.010600000000000002
1.1,-5,0.9952,0.9972
1.1,-4,0.9804999999999999,0.98715
1.1,-3,0.9377000000000001,0.95405
1.1,-2,0.8526999999999999,0.86595
1.1,-1,0.762,0.7147
1.1,0,0.7121999999999999,0.4976
1.1,1,0.7513,0.29064999999999996
1.1,2,0.8532,0.1296
1.1,3,0.9389,0.04515
1.1,4,0.9785,0.013850000000000001
1.2000000000000002,-5,0.993,0.9958
1.2000000000000002,-4,0.9741,0.98445
1.2000000000000002,-3,0.9269999999999999,0.9470000000000001
1.2000000000000002,-2,0.8416,0.8583999999999999
