,config,n_trials,n_repeated,trial_type,n_features,external_noise_std,kernel,internal_noise_std,criteria,run,prob_agree,prob_first
0,1,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-4,0,1.0,0.9969
1,0,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-5,1,1.0,0.9998
2,0,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-5,0,1.0,1.0
3,1,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-4,4,1.0,0.9982
4,0,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-5,2,1.0,0.9999
5,1,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-4,1,1.0,0.9985
6,1,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-4,3,1.0,0.9972
7,2,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-3,0,1.0,0.9832
8,0,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-5,4,1.0,0.9998
9,1,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-4,2,1.0,0.9972
10,2,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-3,1,1.0,0.9821
11,0,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-5,3,1.0,0.9999
12,2,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-3,2,1.0,0.9824
13,2,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-3,3,1.0,0.9835
14,2,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-3,4,1.0,0.9832
15,3,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-2,0,1.0,0.9162
16,3,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-2,1,1.0,0.9212
17,3,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-2,3,1.0,0.9174
18,3,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-2,2,1.0,0.9251
19,3,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-2,4,1.0,0.9219
20,4,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-1,0,1.0,0.7605
21,4,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-1,1,1.0,0.7498
22,4,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-1,2,1.0,0.7521
23,4,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-1,3,1.0,0.7634
24,5,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,0,0,1.0,0.4969
25,5,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,0,1,1.0,0.5012
26,5,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,0,2,1.0,0.4916
27,4,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,-1,4,1.0,0.758
28,6,10000,10000,<class 'palin.simulation.trial.Int2Trial'>,1,1,[1],0.0,1,0,1.0,0.2384
