internal_noise_std,criteria,prob_agree,prob_first
0.0,-5.0,1.0,1.0
0.0,-4.5,1.0,1.0
0.0,-4.0,1.0,0.9970000000000001
0.0,-3.5,1.0,0.993
0.0,-3.0,1.0,0.983
0.0,-2.5,1.0,0.9709999999999999
0.0,-2.0,1.0,0.9339999999999999
0.0,-1.5,1.0,0.853
0.0,-1.0,1.0,0.762
0.0,-0.5,1.0,0.657
0.0,0.0,1.0,0.475
0.0,0.5,1.0,0.369
0.0,1.0,1.0,0.275
0.0,1.5,1.0,0.152
0.0,2.0,1.0,0.075
0.0,2.5,1.0,0.041
0.0,3.0,1.0,0.02
0.0,3.5,1.0,0.003
0.0,4.0,1.0,0.004
0.0,4.5,1.0,0.001
0.1,-5.0,1.0,1.0
0.1,-4.5,1.0,0.999
0.1,-4.0,0.999,0.9964999999999999
0.1,-3.5,0.999,0.9914999999999999
0.1,-3.0,0.9970000000000001,0.9824999999999999
0.1,-2.5,0.994,0.954
0.1,-2.0,0.984,0.933
0.1,-1.5,0.978,0.851
0.1,-1.0,0.9730000000000001,0.7384999999999999
0.1,-0.5,0.975,0.6375
0.1,0.0,0.967,0.4755
0.1,0.5,0.9650000000000001,0.3745
0.1,1.0,0.977,0.23149999999999998
0.1,1.5,0.9879999999999999,0.148
0.1,2.0,0.986,0.087
0.1,2.5,0.9949999999999999,0.0355
0.1,3.0,0.993,0.0195
0.1,3.5,0.999,0.0055
0.1,4.0,0.999,0.0015
0.1,4.5,0.999,0.0005
0.2,-5.0,1.0,1.0
0.2,-4.5,0.999,0.9995
0.2,-4.0,0.998,0.9970000000000001
0.2,-3.5,0.9970000000000001,0.9955
0.2,-3.0,0.994,0.978
0.2,-2.5,0.9810000000000001,0.9644999999999999
0.2,-2.0,0.986,0.9359999999999999
0.2,-1.5,0.9570000000000001,0.8484999999999999
0.2,-1.0,0.9560000000000001,0.756
0.2,-0.5,0.93,0.635
0.2,0.0,0.9269999999999999,0.5165
0.2,0.5,0.942,0.38
0.2,1.0,0.9549999999999998,0.2555
0.2,1.5,0.9629999999999999,0.1605
0.2,2.0,0.9730000000000001,0.0905
0.2,2.5,0.991,0.041499999999999995
0.2,3.0,0.9949999999999999,0.0185
0.2,3.5,0.9949999999999999,0.0095
0.2,4.0,0.999,0.0025
0.2,4.5,0.999,0.0005
0.30000000000000004,-5.0,1.0,1.0
0.30000000000000004,-4.5,0.999,0.9995
0.30000000000000004,-4.0,0.998,0.998
0.30000000000000004,-3.5,0.991,0.9875
0.30000000000000004,-3.0,0.9890000000000001,0.9795
0.30000000000000004,-2.5,0.978,0.9650000000000001
0.30000000000000004,-2.0,0.96,0.907
0.30000000000000004,-1.5,0.9550000000000001,0.8675
0.30000000000000004,-1.0,0.916,0.7689999999999999
0.30000000000000004,-0.5,0.9199999999999999,0.622
0.30000000000000004,0.0,0.905,0.5045
0.30000000000000004,0.5,0.9120000000000001,0.389
0.30000000000000004,1.0,0.9120000000000001,0.238
0.30000000000000004,1.5,0.944,0.139
0.30000000000000004,2.0,0.9719999999999999,0.091
0.30000000000000004,2.5,0.983,0.033499999999999995
0.30000000000000004,3.0,0.993,0.0105
0.30000000000000004,3.5,0.9949999999999999,0.0095
0.30000000000000004,4.0,0.999,0.0015
0.30000000000000004,4.5,1.0,0.0
0.4,-5.0,1.0,0.999
0.4,-4.5,0.999,0.9984999999999999
0.4,-4.0,0.998,0.9970000000000001
0.4,-3.5,0.9960000000000001,0.992
0.4,-3.0,0.9879999999999999,0.984
0.4,-2.5,0.97,0.952
0.4,-2.0,0.96,0.916
0.4,-1.5,0.923,0.8515
0.4,-1.0,0.9099999999999999,0.733
0.4,-0.5,0.873,0.6265000000000001
0.4,0.0,0.8800000000000001,0.51
0.4,0.5,0.876,0.374
0.4,1.0,0.897,0.27749999999999997
0.4,1.5,0.925,0.1615
0.4,2.0,0.9629999999999999,0.08349999999999999
0.4,2.5,0.977,0.042499999999999996
0.4,3.0,0.992,0.025
0.4,3.5,0.9879999999999999,0.01
0.4,4.0,0.998,0.001
0.4,4.5,1.0,0.0
0.5,-5.0,0.999,0.9995
0.5,-4.5,0.999,0.9995
0.5,-4.0,0.994,0.992
0.5,-3.5,0.994,0.9869999999999999
0.5,-3.0,0.983,0.9804999999999999
0.5,-2.5,0.9640000000000001,0.9490000000000001
0.5,-2.0,0.9490000000000001,0.9055
0.5,-1.5,0.907,0.8355
0.5,-1.0,0.865,0.7344999999999999
0.5,-0.5,0.866,0.651
0.5,0.0,0.8560000000000001,0.514
0.5,0.5,0.85,0.392
0.5,1.0,0.8859999999999999,0.258
0.5,1.5,0.916,0.147
0.5,2.0,0.938,0.091
