participant,sex,age,block,trial,response,RT
LN,M,30,1,1,stim2,0.267
LN,M,30,1,2,stim2,0.274
LN,M,30,1,3,stim2,0.128
LN,M,30,1,4,stim2,0.359
LN,M,30,1,5,stim2,0.233
LN,M,30,1,6,stim2,0.284
LN,M,30,1,7,stim1,0.225
LN,M,30,1,8,stim2,0.219
LN,M,30,1,9,stim2,0.23
LN,M,30,1,10,stim2,0.221
LN,M,30,1,11,stim2,0.28
LN,M,30,1,12,stim2,0.157
LN,M,30,1,13,stim1,0.218
LN,M,30,1,14,stim2,0.227
LN,M,30,1,15,stim2,0.11
LN,M,30,1,16,stim1,0.074
LN,M,30,1,17,stim2,0.162
LN,M,30,1,18,stim2,0.511
LN,M,30,1,19,stim2,0.243
LN,M,30,1,20,stim1,0.251
LN,M,30,1,21,stim1,0.149
LN,M,30,1,22,stim1,0.144
LN,M,30,1,23,stim2,0.148
LN,M,30,1,24,stim1,0.153
LN,M,30,1,25,stim1,0.231
LN,M,30,1,26,stim2,0.358
LN,M,30,1,27,stim1,0.066
LN,M,30,1,28,stim1,0.236
LN,M,30,1,29,stim1,0.259
LN,M,30,1,30,stim1,0.293
LN,M,30,1,31,stim1,0.217
LN,M,30,1,32,stim2,0.243
LN,M,30,1,33,stim1,0.219
LN,M,30,1,34,stim2,0.229
LN,M,30,1,35,stim1,0.246
LN,M,30,1,36,stim1,0.296
LN,M,30,1,37,stim1,0.229
LN,M,30,1,38,stim2,0.23
LN,M,30,1,39,stim1,0.222
LN,M,30,1,40,stim2,0.256
LN,M,30,1,41,stim2,0.218
LN,M,30,1,42,stim1,0.314
LN,M,30,1,43,stim2,0.248
LN,M,30,1,44,stim1,0.216
LN,M,30,1,45,stim2,0.162
LN,M,30,1,46,stim2,0.223
LN,M,30,1,47,stim2,0.095
LN,M,30,1,48,stim2,0.232
LN,M,30,1,49,stim1,0.303
LN,M,30,1,50,stim1,0.359
LN,M,30,1,51,stim2,0.281
LN,M,30,1,52,stim1,0.216
LN,M,30,1,53,stim1,0.22
LN,M,30,1,54,stim1,0.259
LN,M,30,1,55,stim2,0.451
LN,M,30,1,56,stim2,0.309
LN,M,30,1,57,stim1,0.218
LN,M,30,1,58,stim1,0.229
LN,M,30,1,59,stim1,0.124
LN,M,30,1,60,stim2,0.218
LN,M,30,1,61,stim1,0.212
LN,M,30,1,62,stim1,0.264
LN,M,30,1,63,stim1,0.269
LN,M,30,1,64,stim1,0.263
LN,M,30,1,65,stim2,0.165
LN,M,30,1,66,stim2,0.234
LN,M,30,1,67,stim1,0.281
LN,M,30,1,68,stim2,0.296
LN,M,30,1,69,stim2,0.16
LN,M,30,1,70,stim1,0.282
LN,M,30,1,71,stim1,0.363
LN,M,30,1,72,stim1,0.157
LN,M,30,1,73,stim1,0.218
LN,M,30,1,74,stim1,0.147
LN,M,30,1,75,stim2,0.151
LN,M,30,1,76,stim1,0.235
LN,M,30,1,77,stim1,0.326
LN,M,30,1,78,stim2,0.242
LN,M,30,1,79,stim2,0.085
LN,M,30,1,80,stim1,0.09
LN,M,30,1,81,stim2,0.121
LN,M,30,1,82,stim2,0.352
LN,M,30,1,83,stim1,0.131
LN,M,30,1,84,stim2,0.224
LN,M,30,1,85,stim2,0.22
LN,M,30,1,86,stim2,0.14
LN,M,30,1,87,stim2,0.274
LN,M,30,1,88,stim1,0.328
LN,M,30,1,89,stim1,0.36
LN,M,30,1,90,stim2,0.217
LN,M,30,1,91,stim2,0.925
LN,M,30,1,92,stim1,0.225
LN,M,30,1,93,stim2,0.13
LN,M,30,1,94,stim2,0.251
LN,M,30,1,95,stim2,0.255
LN,M,30,1,96,stim1,0.312
LN,M,30,1,97,stim2,0.285
LN,M,30,1,98,stim2,0.31
LN,M,30,1,99,stim1,0.258
LN,M,30,1,100,stim2,0.354
LN,M,30,2,1,stim2,0.241
LN,M,30,2,2,stim2,0.779
LN,M,30,2,3,stim2,0.22
LN,M,30,2,4,stim1,0.142
LN,M,30,2,5,stim1,0.157
LN,M,30,2,6,stim1,0.295
LN,M,30,2,7,stim1,0.289
LN,M,30,2,8,stim2,0.253
LN,M,30,2,9,stim2,0.232
LN,M,30,2,10,stim1,0.254
LN,M,30,2,11,stim1,0.272
LN,M,30,2,12,stim2,0.222
LN,M,30,2,13,stim2,0.258
LN,M,30,2,14,stim2,0.136
LN,M,30,2,15,stim1,0.069
LN,M,30,2,16,stim2,0.221
LN,M,30,2,17,stim2,0.296
LN,M,30,2,18,stim2,0.221
LN,M,30,2,19,stim1,0.222
LN,M,30,2,20,stim2,0.144
LN,M,30,2,21,stim2,0.222
LN,M,30,2,22,stim1,0.318
LN,M,30,2,23,stim2,0.276
LN,M,30,2,24,stim2,0.286
LN,M,30,2,25,stim1,0.122
LN,M,30,2,26,stim2,0.408
LN,M,30,2,27,stim1,0.108
LN,M,30,2,28,stim2,0.225
