participant,block,trial,resp,RT,f,eq
LN,1,1,0,0.267,0,-4.30390213
LN,1,1,0,0.267,107.23874129,-0.46296007
LN,1,1,0,0.267,230.90626491,-7.03344143
LN,1,1,0,0.267,373.51943078,9.08466726
LN,1,1,0,0.267,537.98067721,4.311361
LN,1,1,0,0.267,727.63709087,-1.76604418
LN,1,1,0,0.267,946.34852608,-6.32678074
LN,1,1,0,0.267,1198.56615988,-2.24291887
LN,1,1,0,0.267,1489.42308164,-1.58980187
LN,1,1,0,0.267,1824.83876082,-2.36515296
LN,1,1,0,0.267,2211.63951892,4.40415086
LN,1,1,0,0.267,2657.69745762,-3.26759957
LN,1,1,0,0.267,3172.09067045,3.09722775
LN,1,1,0,0.267,3765.28799853,0.40084333
LN,1,1,0,0.267,4449.36209061,-7.18584308
LN,1,1,0,0.267,5238.23510351,2.29228009
LN,1,1,0,0.267,6147.96204348,-4.32733781
LN,1,1,0,0.267,7197.05751481,0.28470983
LN,1,1,0,0.267,8406.87252591,-1.26128963
LN,1,1,0,0.267,9802.02902128,-3.51536684
LN,1,1,0,0.267,11410.92098301,3.36013579
LN,1,1,0,0.267,13266.29230024,1.8096325
LN,1,1,0,0.267,15405.90316702,-1.9779153
LN,1,1,0,0.267,17873.29857123,-9.83765808
LN,1,1,0,0.267,20718.69451459,2.05413896
LN,1,1,0,0.267,24000,-3.10169445
LN,1,1,1,0.267,0,-4.92413265
LN,1,1,1,0.267,107.23874129,-12.3526192
LN,1,1,1,0.267,230.90626491,-3.15800589
LN,1,1,1,0.267,373.51943078,3.60543908
LN,1,1,1,0.267,537.98067721,0.71652027
LN,1,1,1,0.267,727.63709087,2.43036753
LN,1,1,1,0.267,946.34852608,1.90607826
LN,1,1,1,0.267,1198.56615988,-7.46957443
LN,1,1,1,0.267,1489.42308164,-2.7323455
LN,1,1,1,0.267,1824.83876082,-4.88661568
LN,1,1,1,0.267,2211.63951892,-4.1508359
LN,1,1,1,0.267,2657.69745762,-2.21471602
LN,1,1,1,0.267,3172.09067045,-5.7782986
LN,1,1,1,0.267,3765.28799853,-4.28736956
LN,1,1,1,0.267,4449.36209061,-4.34747865
LN,1,1,1,0.267,5238.23510351,5.36825437
LN,1,1,1,0.267,6147.96204348,-3.09331362
LN,1,1,1,0.267,7197.05751481,-1.99379087
LN,1,1,1,0.267,8406.87252591,-4.61624869
LN,1,1,1,0.267,9802.02902128,-2.74246062
LN,1,1,1,0.267,11410.92098301,-5.91779854
LN,1,1,1,0.267,13266.29230024,-0.61521602
LN,1,1,1,0.267,15405.90316702,7.67269795
LN,1,1,1,0.267,17873.29857123,-10.03783273
LN,1,1,1,0.267,20718.69451459,-0.31890763
LN,1,1,1,0.267,24000,3.77563466
LN,1,2,0,0.274,0,-2.4501274
LN,1,2,0,0.274,107.23874129,-0.29493725
LN,1,2,0,0.274,230.90626491,3.68508286
LN,1,2,0,0.274,373.51943078,1.04796219
LN,1,2,0,0.274,537.98067721,6.33468311
LN,1,2,0,0.274,727.63709087,-1.68233399
LN,1,2,0,0.274,946.34852608,9.54118277
LN,1,2,0,0.274,1198.56615988,3.6640128
LN,1,2,0,0.274,1489.42308164,9.96854812
LN,1,2,0,0.274,1824.83876082,2.53591441
LN,1,2,0,0.274,2211.63951892,8.07687647
LN,1,2,0,0.274,2657.69745762,-3.34138125
LN,1,2,0,0.274,3172.09067045,4.15263384
LN,1,2,0,0.274,3765.28799853,5.93548365
LN,1,2,0,0.274,4449.36209061,3.86280849
LN,1,2,0,0.274,5238.23510351,4.0696788
LN,1,2,0,0.274,6147.96204348,-1.33501213
LN,1,2,0,0.274,7197.05751481,5.26547977
LN,1,2,0,0.274,8406.87252591,-0.89877827
LN,1,2,0,0.274,9802.02902128,-2.07985105
LN,1,2,0,0.274,11410.92098301,-2.46378908
LN,1,2,0,0.274,13266.29230024,3.63165991
LN,1,2,0,0.274,15405.90316702,-4.28874196
LN,1,2,0,0.274,17873.29857123,-0.68058537
LN,1,2,0,0.274,20718.69451459,0.06641594
LN,1,2,0,0.274,24000,0.86705039
LN,1,2,1,0.274,0,-1.26011743
LN,1,2,1,0.274,107.23874129,4.99244479
LN,1,2,1,0.274,230.90626491,0.0186102
LN,1,2,1,0.274,373.51943078,-3.88169826
LN,1,2,1,0.274,537.98067721,-4.96526224
LN,1,2,1,0.274,727.63709087,-3.22222683
LN,1,2,1,0.274,946.34852608,-4.4410463
LN,1,2,1,0.274,1198.56615988,4.30470099
LN,1,2,1,0.274,1489.42308164,-9.51764772
LN,1,2,1,0.274,1824.83876082,2.49696219
LN,1,2,1,0.274,2211.63951892,3.26831508
LN,1,2,1,0.274,2657.69745762,2.48802179
LN,1,2,1,0.274,3172.09067045,8.14849
LN,1,2,1,0.274,3765.28799853,2.27804057
LN,1,2,1,0.274,4449.36209061,-3.06879658
LN,1,2,1,0.274,5238.23510351,-2.00083679
LN,1,2,1,0.274,6147.96204348,-1.77286568
LN,1,2,1,0.274,7197.05751481,-7.74039508
LN,1,2,1,0.274,8406.87252591,9.19318037
LN,1,2,1,0.274,9802.02902128,10.67415626
LN,1,2,1,0.274,11410.92098301,4.95829644
LN,1,2,1,0.274,13266.29230024,-0.8203992
LN,1,2,1,0.274,15405.90316702,0.37532814
LN,1,2,1,0.274,17873.29857123,0.49426896
LN,1,2,1,0.274,20718.69451459,0.66205822
LN,1,2,1,0.274,24000,8.8949039
LN,1,3,0,0.128,0,-8.45078345
LN,1,3,0,0.128,107.23874129,-2.36659078
LN,1,3,0,0.128,230.90626491,-0.22149884
LN,1,3,0,0.128,373.51943078,-1.82286589
LN,1,3,0,0.128,537.98067721,0.73405543
LN,1,3,0,0.128,727.63709087,8.25744484
LN,1,3,0,0.128,946.34852608,-0.68328521
LN,1,3,0,0.128,1198.56615988,-0.52696564
LN,1,3,0,0.128,1489.42308164,6.72915106
LN,1,3,0,0.128,1824.83876082,-1.98609933
LN,1,3,0,0.128,2211.63951892,3.89925835
LN,1,3,0,0.128,2657.69745762,8.06560189
LN,1,3,0,0.128,3172.09067045,5.89998648
LN,1,3,0,0.128,3765.28799853,-6.60746678
LN,1,3,0,0.128,4449.36209061,2.63756767
LN,1,3,0,0.128,5238.23510351,4.65547359
LN,1,3,0,0.128,6147.96204348,-2.1760437
LN,1,3,0,0.128,7197.05751481,6.36862994
LN,1,3,0,0.128,8406.87252591,-4.02297826
LN,1,3,0,0.128,9802.02902128,9.39414968
LN,1,3,0,0.128,11410.92098301,-9.6947348
LN,1,3,0,0.128,13266.29230024,7.46631924
LN,1,3,0,0.128,15405.90316702,-4.28908709
LN,1,3,0,0.128,17873.29857123,-3.52047577
LN,1,3,0,0.128,20718.69451459,1.93197849
LN,1,3,0,0.128,24000,-10.79223402
LN,1,3,1,0.128,0,-5.94124265
LN,1,3,1,0.128,107.23874129,6.09466208
LN,1,3,1,0.128,230.90626491,-1.30837676
LN,1,3,1,0.128,373.51943078,-2.62087291
LN,1,3,1,0.128,537.98067721,-0.72825636
LN,1,3,1,0.128,727.63709087,2.27883446
LN,1,3,1,0.128,946.34852608,-7.21500756
LN,1,3,1,0.128,1198.56615988,5.3029819
LN,1,3,1,0.128,1489.42308164,7.27081877
LN,1,3,1,0.128,1824.83876082,1.07428504
LN,1,3,1,0.128,2211.63951892,-7.367384
LN,1,3,1,0.128,2657.69745762,0.88609472
LN,1,3,1,0.128,3172.09067045,8.82533366
LN,1,3,1,0.128,3765.28799853,-0.78255455
LN,1,3,1,0.128,4449.36209061,-3.98013136
LN,1,3,1,0.128,5238.23510351,10.72852375
LN,1,3,1,0.128,6147.96204348,2.3912617
LN,1,3,1,0.128,7197.05751481,5.00237242
LN,1,3,1,0.128,8406.87252591,9.47288224
LN,1,3,1,0.128,9802.02902128,-0.48397206
LN,1,3,1,0.128,11410.92098301,7.07209867
LN,1,3,1,0.128,13266.29230024,-0.65911954
LN,1,3,1,0.128,15405.90316702,5.16940718
LN,1,3,1,0.128,17873.29857123,0.46897822
LN,1,3,1,0.128,20718.69451459,0.9573666
LN,1,3,1,0.128,24000,5.15019207
LN,1,4,0,0.359,0,6.63330598
LN,1,4,0,0.359,107.23874129,-0.46371407
LN,1,4,0,0.359,230.90626491,2.50439195
LN,1,4,0,0.359,373.51943078,-6.01723027
LN,1,4,0,0.359,537.98067721,5.88295622
LN,1,4,0,0.359,727.63709087,10.9901349
LN,1,4,0,0.359,946.34852608,4.09077551
LN,1,4,0,0.359,1198.56615988,-1.60860327
LN,1,4,0,0.359,1489.42308164,2.20931773
LN,1,4,0,0.359,1824.83876082,-3.00497201
LN,1,4,0,0.359,2211.63951892,6.57652511
LN,1,4,0,0.359,2657.69745762,0.19223131
LN,1,4,0,0.359,3172.09067045,-12.40054384
LN,1,4,0,0.359,3765.28799853,2.80857778
LN,1,4,0,0.359,4449.36209061,1.59506218
LN,1,4,0,0.359,5238.23510351,-4.82570315
LN,1,4,0,0.359,6147.96204348,1.88245501
LN,1,4,0,0.359,7197.05751481,0.12993266
LN,1,4,0,0.359,8406.87252591,0.96912542
LN,1,4,0,0.359,9802.02902128,-5.45441646
LN,1,4,0,0.359,11410.92098301,5.15977375
LN,1,4,0,0.359,13266.29230024,-2.17578626
LN,1,4,0,0.359,15405.90316702,-4.10826289
LN,1,4,0,0.359,17873.29857123,2.05913179
LN,1,4,0,0.359,20718.69451459,-0.11780592
LN,1,4,0,0.359,24000,-5.28009139
LN,1,4,1,0.359,0,1.69309068
LN,1,4,1,0.359,107.23874129,-2.94778495
LN,1,4,1,0.359,230.90626491,-5.20339889
LN,1,4,1,0.359,373.51943078,4.58961111
LN,1,4,1,0.359,537.98067721,-1.89754902
LN,1,4,1,0.359,727.63709087,-1.89486922
LN,1,4,1,0.359,946.34852608,-1.01159748
LN,1,4,1,0.359,1198.56615988,5.38512104
LN,1,4,1,0.359,1489.42308164,2.4970136
LN,1,4,1,0.359,1824.83876082,-0.14630058
LN,1,4,1,0.359,2211.63951892,6.39751925
LN,1,4,1,0.359,2657.69745762,1.35035902
LN,1,4,1,0.359,3172.09067045,0.80057883
LN,1,4,1,0.359,3765.28799853,-9.12110892
LN,1,4,1,0.359,4449.36209061,1.70774652
LN,1,4,1,0.359,5238.23510351,-0.52128758
LN,1,4,1,0.359,6147.96204348,-0.02779695
LN,1,4,1,0.359,7197.05751481,1.8260396
LN,1,4,1,0.359,8406.87252591,-6.70338394
LN,1,4,1,0.359,9802.02902128,3.14844273
LN,1,4,1,0.359,11410.92098301,5.92961663
LN,1,4,1,0.359,13266.29230024,1.72733047
LN,1,4,1,0.359,15405.90316702,-5.00501101
LN,1,4,1,0.359,17873.29857123,-2.12360445
